date,dataset_name,using_raw_features,iim_name,cloud_models,triangulation_method,triangulation_samples,dataset_size,k_fold_0_acc,k_fold_1_acc,k_fold_2_acc,k_fold_0_auc,k_fold_1_auc,k_fold_2_auc,triangulation_embedding,triangulation_mode
12/12/2025 21:08,magic,False,lstm,['xception'],kmeans,2,1,0.6651,0.6577,0.6672,0.7056,0.708,0.7074,,
14/12/2025 12:59,magic,True,lstm,[],kmeans,2,1,0.654,0.6567,0.6577,0.6993,0.6979,0.7018,,
14/12/2025 16:44,magic,True,lstm,[],kmeans,5,1,0.6556,0.6577,0.6614,0.7097,0.7099,0.7067,,
14/12/2025 18:10,magic,True,lstm,['xception'],kmeans,5,1,0.6577,0.6493,0.653,0.6948,0.6892,0.6922,,
15/12/2025 16:02,magic,True,lstm,[],kmeans_classes,2,1,0.6588,0.6583,0.6583,0.7041,0.7085,0.7082,,
18/12/2025 19:46,magic,True,lstm,[],kmeans,5,1,0.6441,0.6325,0.6404,0.6966,0.6953,0.703,dino,diff
20/12/2025 17:14,magic,True,lstm,[],kmeans,5,1,0.6367,0.6414,0.6409,0.6983,0.6977,0.6963,dino,diff
20/12/2025 17:31,magic,True,dense,[],kmeans,5,1,0.6341,0.6299,0.6341,0.6733,0.6701,0.6637,dino,diff
20/12/2025 18:16,magic,True,transformer,[],kmeans,5,1,0.6646,0.6672,0.6567,0.7148,0.7146,0.7123,dino,diff
20/12/2025 19:15,magic,True,lstm,[],kmeans,2,1,0.6661,0.6709,0.6693,0.727,0.723,0.7223,dino,diff
20/12/2025 19:31,magic,True,dense,[],kmeans,2,1,0.6572,0.6546,0.6593,0.6972,0.6962,0.7044,dino,diff
20/12/2025 20:16,magic,True,transformer,[],kmeans,2,1,0.6467,0.6446,0.6414,0.6962,0.6914,0.682,dino,diff
20/12/2025 19:41,magic,True,lstm,['xception'],kmeans,2,1,0.6556,0.6519,0.6598,0.7152,0.715,0.7134,dino,diff
20/12/2025 19:58,magic,True,dense,['xception'],kmeans,2,1,0.6551,0.6519,0.6593,0.6992,0.6947,0.6959,dino,diff
20/12/2025 20:43,magic,True,transformer,['xception'],kmeans,2,1,0.6414,0.6572,0.6514,0.6937,0.699,0.6969,dino,diff
20/12/2025 21:02,magic,True,lstm,[],kmeans,2,1,0.6483,0.6483,0.6483,0.6806,0.6801,0.6797,clip,cos
20/12/2025 21:18,magic,True,dense,[],kmeans,2,1,0.6472,0.6462,0.6467,0.7001,0.6993,0.7,clip,cos
20/12/2025 20:39,magic,True,lstm,[],kmeans,2,1,0.6777,0.6772,0.674,0.7284,0.7282,0.7266,clip,diff
20/12/2025 20:55,magic,True,dense,[],kmeans,2,1,0.6588,0.6588,0.6535,0.7026,0.7059,0.7027,clip,diff
20/12/2025 21:40,magic,True,transformer,[],kmeans,2,1,0.6667,0.663,0.6598,0.7098,0.7117,0.7095,clip,diff
20/12/2025 20:36,magic,True,lstm,['xception'],kmeans,5,1,0.6172,0.622,0.6267,0.6812,0.6792,0.688,dino,diff
20/12/2025 20:53,magic,True,dense,['xception'],kmeans,5,1,0.622,0.6162,0.622,0.6581,0.646,0.6629,dino,diff
20/12/2025 21:40,magic,True,transformer,['xception'],kmeans,5,1,0.6451,0.6583,0.6504,0.7016,0.7046,0.7034,dino,diff
20/12/2025 21:31,magic,True,lstm,['xception'],kmeans,2,1,0.6661,0.6661,0.663,0.7229,0.7241,0.7213,clip,diff
20/12/2025 21:48,magic,True,dense,['xception'],kmeans,2,1,0.6598,0.6698,0.6562,0.7025,0.7084,0.6999,clip,diff
20/12/2025 22:32,magic,True,transformer,['xception'],kmeans,2,1,0.6572,0.6551,0.6593,0.7108,0.7083,0.7146,clip,diff
20/12/2025 22:26,magic,True,lstm,['xception'],kmeans,2,1,0.6483,0.6483,0.6483,0.6793,0.6801,0.6819,clip,cos
20/12/2025 22:43,magic,True,dense,['xception'],kmeans,2,1,0.653,0.6551,0.654,0.7015,0.7013,0.7004,clip,cos
20/12/2025 22:47,magic,True,lstm,[],kmeans,5,1,0.6483,0.6483,0.6483,0.6629,0.6665,0.6681,clip,cos
20/12/2025 23:03,magic,True,dense,[],kmeans,5,1,0.6299,0.6346,0.633,0.6351,0.634,0.6338,clip,cos
20/12/2025 23:37,magic,True,lstm,[],kmeans,2,1,0.6604,0.653,0.6556,0.7316,0.7294,0.7314,dino,cos
20/12/2025 23:53,magic,True,dense,[],kmeans,2,1,0.6714,0.674,0.6746,0.7412,0.7412,0.7417,dino,cos
21/12/2025 00:44,magic,True,lstm,['xception'],kmeans,2,1,0.6483,0.6483,0.6483,0.7222,0.7214,0.7216,dino,cos
21/12/2025 01:00,magic,True,dense,['xception'],kmeans,2,1,0.6646,0.663,0.6646,0.7322,0.7325,0.7312,dino,cos
21/12/2025 01:02,magic,True,lstm,['xception'],kmeans,5,1,0.6483,0.6483,0.6483,0.6585,0.66,0.6593,clip,cos
21/12/2025 01:19,magic,True,dense,['xception'],kmeans,5,1,0.6446,0.642,0.6393,0.6494,0.6464,0.6483,clip,cos
21/12/2025 21:16,magic,True,lstm,[],kmeans,2,1,0.654,0.6551,0.6562,0.707,0.7076,0.7054,dino,concat
21/12/2025 21:37,magic,True,dense,[],kmeans,2,1,0.6614,0.653,0.6477,0.701,0.698,0.6918,dino,concat
21/12/2025 22:30,magic,True,transformer,[],kmeans,2,1,0.6488,0.6483,0.6488,0.6643,0.6608,0.6646,dino,concat
21/12/2025 21:56,magic,True,lstm,['xception'],kmeans,2,1,0.6572,0.6598,0.6667,0.7078,0.7059,0.7053,dino,concat
21/12/2025 22:14,magic,True,dense,['xception'],kmeans,2,1,0.654,0.6556,0.6535,0.6982,0.6979,0.6964,dino,concat
21/12/2025 23:03,magic,True,transformer,['xception'],kmeans,2,1,0.6498,0.6488,0.6504,0.6681,0.6637,0.6609,dino,concat
21/12/2025 22:24,magic,True,lstm,[],kmeans,2,1,0.6609,0.6635,0.6604,0.7132,0.7123,0.713,clip,concat
21/12/2025 22:44,magic,True,dense,[],kmeans,2,1,0.6556,0.6619,0.6598,0.7065,0.7127,0.7072,clip,concat
21/12/2025 23:32,magic,True,transformer,[],kmeans,2,1,0.6651,0.6604,0.6682,0.7065,0.7139,0.7127,clip,concat
21/12/2025 22:59,magic,True,lstm,['xception'],kmeans,2,1,0.6598,0.6567,0.6588,0.7115,0.7125,0.7125,clip,concat
21/12/2025 23:18,magic,True,dense,['xception'],kmeans,2,1,0.6588,0.6667,0.6609,0.7032,0.7066,0.6989,clip,concat
22/12/2025 00:07,magic,True,transformer,['xception'],kmeans,2,1,0.6588,0.6604,0.6698,0.7116,0.7067,0.7101,clip,concat
23/12/2025 17:12,magic,True,entropy_aware,[],kmeans,2,1,0.6725,0.6719,0.6751,0.7423,0.7441,0.7429,dino,cos
23/12/2025 17:33,magic,True,gated,[],kmeans,2,1,0.6746,0.6735,0.673,0.7427,0.7425,0.7429,dino,cos
